2024-05-03 17:58:11,Bitcoin,59518.96
2024-05-03 17:58:31,Bitcoin,59524.14
2024-05-03 17:58:53,Bitcoin,59524.14
2024-05-03 18:00:02,Bitcoin,59524.14
2024-05-03 18:03:01,Bitcoin,59504.00
2024-05-03 18:06:01,Bitcoin,59413.26
2024-05-03 18:09:02,Bitcoin,59376.98
2024-05-03 18:12:02,Bitcoin,59411.34
2024-05-03 18:15:01,Bitcoin,59411.34
2024-05-03 18:18:03,Bitcoin,59344.83
2024-05-03 18:21:01,Bitcoin,59344.83
2024-05-03 18:24:02,Bitcoin,59376.91
2024-05-03 18:27:01,Bitcoin,59376.91
2024-05-03 18:30:02,Bitcoin,59325.93
2024-05-03 18:33:01,Bitcoin,59328.90
2024-05-03 18:36:02,Bitcoin,59309.01
2024-05-03 18:39:03,Bitcoin,59193.38
2024-05-03 18:42:01,Bitcoin,59193.38
2024-05-03 18:45:01,Bitcoin,59022.90
2024-05-03 18:48:02,Bitcoin,58911.22
2024-05-03 18:51:02,Bitcoin,58928.71
2024-05-03 18:54:01,Bitcoin,58906.21
2024-05-03 18:57:01,Bitcoin,58934.01
2024-05-03 19:00:02,Bitcoin,58926.95
2024-05-03 19:03:01,Bitcoin,59044.80
2024-05-03 19:06:01,Bitcoin,58939.22
2024-05-03 19:09:02,Bitcoin,58983.27
2024-05-03 19:12:03,Bitcoin,58951.48
2024-05-03 19:15:01,Bitcoin,58951.48
2024-05-03 19:18:02,Bitcoin,59044.55
2024-05-03 19:21:01,Bitcoin,59035.85
2024-05-03 19:24:02,Bitcoin,59116.94
2024-05-03 19:27:01,Bitcoin,59116.94
2024-05-03 19:30:02,Bitcoin,59178.48
2024-05-03 19:33:01,Bitcoin,59178.48
2024-05-03 19:36:01,Bitcoin,59197.30
2024-05-03 19:39:02,Bitcoin,59139.14
2024-05-03 19:42:01,Bitcoin,59101.42
2024-05-03 19:45:02,Bitcoin,59103.15
2024-05-03 19:48:01,Bitcoin,59138.16
2024-05-03 19:51:01,Bitcoin,59129.48
2024-05-03 19:54:01,Bitcoin,59195.99
2024-05-03 19:57:04,Bitcoin,59316.87
2024-05-03 20:00:01,Bitcoin,59316.87
2024-05-03 20:03:02,Bitcoin,59274.12
2024-05-03 20:06:01,Bitcoin,59169.19
2024-05-03 20:09:02,Bitcoin,59150.22
2024-05-03 20:12:03,Bitcoin,59179.59
2024-05-03 20:15:01,Bitcoin,59179.59
2024-05-03 20:18:02,Bitcoin,59153.40
2024-05-03 20:21:01,Bitcoin,59153.40
2024-05-03 20:24:02,Bitcoin,59086.32
2024-05-03 20:27:03,Bitcoin,59052.17
2024-05-03 20:30:03,Bitcoin,59095.63
2024-05-03 20:33:01,Bitcoin,59095.63
2024-05-03 20:36:01,Bitcoin,59653.05
2024-05-03 20:39:02,Bitcoin,60227.96
2024-05-03 20:42:01,Bitcoin,60227.96
2024-05-03 20:45:02,Bitcoin,60345.76
